Tanggal,Waktu,Ticker,Nama,Status,Skor,HargaScreening
2026-09-03,2026-09-03T01:08:02Z,NSSS,Nusantara Sawit Sejahtera Tb,BUY,65,900
2026-09-03,2026-09-03T01:08:02Z,OASA,Maharaksa Biru Energi Tbk.,BUY,26,326
2026-09-03,2026-09-03T15:00:49Z,PSKT,Red Planet Indonesia Tbk.,BUY,30,252
2026-09-03,2026-09-03T01:08:02Z,SMSM,Selamat Sempurna Tbk,BUY,82,1720
2026-09-03,2026-09-03T01:08:02Z,VKTR,VKTR Teknologi Mobilitas Tbk,BUY,30,935
2026-09-04,2026-09-04T14:58:48Z,AKRA,AKR Corporindo Tbk,BOW,78,1385
2026-09-04,2026-09-04T14:58:48Z,BULL,Buana Lintas Lautan Tbk.,BUY,67,436
2026-09-04,2026-09-04T14:58:48Z,HATM,Habco Trans Maritima Tbk.,BUY,46,615
2026-09-04,2026-09-04T14:58:48Z,INKP,Indah Kiat Pulp & Paper Tbk.,BUY,66,8800
2026-09-04,2026-09-04T14:58:48Z,MDIA,Intermedia Capital Tbk.,BOW,35,216
2026-09-04,2026-09-04T14:58:48Z,MMIX,Multi Medika Internasional T,BUY,53,800
2026-09-04,2026-09-04T14:58:48Z,SMSM,Selamat Sempurna Tbk,BUY,82,1720
2026-09-04,2026-09-04T14:58:48Z,SSIA,Surya Semesta Internusa Tbk,BUY,51,1810
2026-09-04,2026-09-04T14:58:48Z,TKIM,Pabrik Kertas Tjiwi Kimia Tb,BUY,63,8150
2026-09-04,2026-09-04T14:58:48Z,VKTR,VKTR Teknologi Mobilitas Tbk,BUY,30,865
2026-09-07,2026-09-07T16:27:12Z,AKRA,AKR Corporindo Tbk,BUY,77,1450
2026-09-07,2026-09-07T16:27:12Z,INDF,Indofood Sukses Makmur Tbk,BUY,74,7350
2026-09-07,2026-09-07T16:27:12Z,MDIA,Intermedia Capital Tbk.,BUY,35,250
2026-09-07,2026-09-07T16:27:12Z,MEDC,Medco Energi Internasional T,BUY,60,1485
2026-09-07,2026-09-07T16:27:12Z,MMIX,Multi Medika Internasional T,BUY,53,805
2026-09-07,2026-09-07T16:27:12Z,SMSM,Selamat Sempurna Tbk,BUY,82,1740
2026-09-08,2026-09-08T15:06:17Z,BBNI,Bank Negara Indonesia  (Pers,BUY,67,3870
2026-09-08,2026-09-08T15:06:17Z,ENRG,Energi Mega Persada Tbk,BUY,58,1470
2026-09-08,2026-09-08T15:06:17Z,FPNI,Lotte Chemical Titan Tbk.,BUY,72,570
2026-09-08,2026-09-08T15:06:17Z,INDF,Indofood Sukses Makmur Tbk,BUY,74,7500
2026-09-08,2026-09-08T15:06:17Z,INTP,Indocement Tunggal Prakarsa ,BUY,83,5500
2026-09-08,2026-09-08T15:06:17Z,MARK,Mark Dynamics Indonesia Tbk.,BUY,80,1080
2026-09-08,2026-09-08T15:06:17Z,MDIA,Intermedia Capital Tbk.,BUY,35,236
2026-09-08,2026-09-08T15:06:17Z,MDKA,Merdeka Copper Gold Tbk.,BUY,31,3120
2026-09-08,2026-09-08T15:06:17Z,PSKT,Red Planet Indonesia Tbk.,BUY,30,254
2026-09-08,2026-09-08T15:06:17Z,SIMP,Salim Ivomas Pratama Tbk.,BUY,78,635
2026-09-09,2026-09-09T09:47:42Z,ADRO,Alamtri Resources Indonesia ,BUY,73,2690
2026-09-09,2026-09-09T09:47:42Z,BBNI,Bank Negara Indonesia  (Pers,BUY,67,3820
2026-09-09,2026-09-09T09:47:42Z,BDMN,Bank Danamon Indonesia Tbk.,BUY,67,4540
2026-09-09,2026-09-09T09:47:42Z,GGRM,Gudang Garam Tbk,BOW,73,19750
2026-09-09,2026-09-09T09:47:42Z,INDF,Indofood Sukses Makmur Tbk,BUY,74,7500
2026-09-09,2026-09-09T09:47:42Z,ISAT,Indosat Tbk,BUY,74,2400
2026-09-09,2026-09-09T09:47:42Z,MAPI,Mitra Adiperkasa Tbk,BOW,72,1360
2026-09-09,2026-09-09T09:47:42Z,MARK,Mark Dynamics Indonesia Tbk.,BUY,80,1075
2026-09-09,2026-09-09T09:47:42Z,MBSS,Mitrabahtera Segara Sejati T,BUY,60,2880
2026-09-09,2026-09-09T09:47:42Z,MDIA,Intermedia Capital Tbk.,BOW,35,220
2026-09-09,2026-09-09T09:47:42Z,OASA,Maharaksa Biru Energi Tbk.,BUY,26,324
